朝日奈葵 zhao'ri'nai'kui
九重凛 jiu'zhong'lin
神乐丽 shen'le'li
仙剑奇侠传三外传 xian'jian'qi'xia'chuan'san'wai'chuan
长卷发 chang'juan'fa
恩奇都 en'qi'du
长空秋山澪 chang'kong'qiu'shan'ling
敌重雷装巡洋舰 di'zhong'lei'zhuang'xun'yang'jian
幺乐团的历史 yao'le'tuan'de'li'shi
天朝酱和她的伙伴们 tian'zhao'jiang'he'ta'de'huo'ban'men
每天回家都看见老婆在装死 mei'tian'hui'jia'du'kan'jian'lao'po'zai'zhuang'si
尾扎长发 wei'za'chang'fa
中长发 zhong'chang'fa
那边的人全都是处男吗 na'bian'de'ren'quan'du'shi'chu'nan'ma
重身幽灵 zhong'shen'you'ling
委员长 wei'yuan'chang
血型君 xie'xing'jun
舰娘收藏 jian'niang'shou'cang
都是世界的错 du'shi'shi'jie'de'cuo
仙剑奇侠传四 xian'jian'qi'xia'chuan'si
集装箱起重机 ji'zhuang'xiang'qi'zhong'ji
向宣传 xiang'xuan'chuan
乐视娘 le'shi'niang
黑角龙娘 hei'jiao'long'niang
一长一短袜 yi'chang'yi'duan'wa
多重人格 duo'zhong'ren'ge
小长门有希的消失 xiao'chang'men'you'xi'de'xiao'shi
萌娘民国传 meng'niang'min'guo'chuan
校舍的后方埋藏着天使 xiao'she'de'hou'fang'mai'cang'zhe'tian'shi
一条乐 yi'tiao'le
长嘴钳 chang'zui'qian
双重身份 shuang'zhong'shen'fen
角虫 jiao'chong
藏剑 cang'jian
少女与战车音乐 shao'nv'yu'zhan'che'yin'le
你将重生 ni'jiang'zhong'sheng
版灵梦传 ban'ling'meng'chuan
向内生长 xiang'nei'sheng'chang
长柄大锤 chang'bing'da'chui
不起眼女主角培育法 bu'qi'yan'nv'zhu'jiao'pei'yu'fa
基德船长 ji'de'chuan'chang
长野原佳乃 chang'ye'yuan'jia'nai
神乐千鹤 shen'le'qian'he
无视重力的跳跃 wu'shi'zhong'li'de'tiao'yue
龙娘七七七的埋藏金 long'niang'qi'qi'qi'de'mai'cang'jin
加油热血啦啦队 jia'you're'xie'la'la'dui
圣传 sheng'chuan
长森牛乳 chang'sen'niu'ru
甘城光辉游乐园 gan'cheng'guang'hui'you'le'yuan
学园都市 xue'yuan'du'shi
翼神传说 yi'shen'chuan'shuo
全武装独角姬 quan'wu'zhuang'du'jiao'ji
怎么想都是 zen'me'xiang'du'shi
因为政府每天都在强奸我 yin'wei'zheng'fu'mei'tian'du'zai'qiang'jian'wo
主角光环 zhu'jiao'guang'huan
半吸血鬼 ban'xi'xie'gui
长崎娘 chang'qi'niang
抓斗起重机 zhua'dou'qi'zhong'ji
长月 chang'yue
我整个人都 wo'zheng'ge'ren'du
魔都 mo'du
天朝酱的幸福生活 tian'zhao'jiang'de'xing'fu'sheng'huo
后果很严重 hou'guo'hen'yan'zhong
高尾部长 gao'wei'bu'chang
三藏法师 san'cang'fa'shi
会长是女仆大人 hui'chang'shi'nv'pu'da'ren
上海爱丽丝幻乐团 shang'hai'ai'li'si'huan'le'tuan
长鸿娘 chang'hong'niang
无法传达的爱恋 wu'fa'chuan'da'de'ai'lian
双重人格 shuang'zhong'ren'ge
乐队 le'dui
因为很重要所以说了两遍 yin'wei'hen'zhong'yao'suo'yi'shuo'le'liang'bian
扬番长 yang'fan'chang
二岩猯藏 er'yan'tuan'cang
股下三角地 gu'xia'san'jiao'di
服部半藏美成 fu'bu'ban'cang'mei'cheng
嗜血狂袭 shi'xie'kuang'xi
壬生朝霞 ren'sheng'zhao'xia
兲朝 tian'zhao
银河骑士传 yin'he'qi'shi'chuan
旧都 jiu'du
血吼 xie'hou
武藏坊弁庆 wu'cang'fang'bian'qing
魔法兵团师团长卡蒂亚 mo'fa'bing'tuan'shi'tuan'chang'ka'di'ya
股间三角 gu'jian'san'jiao
生徒会长 sheng'tu'hui'chang
连装高角炮 lian'zhuang'gao'jiao'pao
长直 chang'zhi
朝鲜 zhao'xian
传说系列 chuan'shuo'xi'lie
重锤姬 zhong'chui'ji
重庆高校动漫社联盟娘 zhong'qing'gao'xiao'dong'man'she'lian'meng'niang
张角 zhang'jiao
长材拖车 chang'cai'tuo'che
每天回家都会看到我老婆在装死 mei'tian'hui'jia'du'hui'kan'dao'wo'lao'po'zai'zhuang'si
八重樫莉奈 ba'zhong'jian'li'nai
天朝 tian'zhao
美国队长 mei'guo'dui'chang
过膝长筒袜 guo'xi'chang'tong'wa
因重两 yin'zhong'liang
一定能听见青春的乐章 yi'ding'neng'ting'jian'qing'chun'de'le'zhang
九重秋 jiu'zhong'qiu
雌都 ci'du
单装高角炮 dan'zhuang'gao'jiao'pao
地藏菩薩 di'cang'pu'sa
东亚重工 dong'ya'zhong'gong
双角 shuang'jiao
学园都市第 xue'yuan'du'shi'di
